time,close,high,low,open,volumefrom,volumeto
1523919600,8079.77,8099.18,8041.17,8041.56,2493.7,20218132.09
1523916000,8041.31,8052.95,8000.66,8044.25,1829.38,14811348.69
1523912400,8044.67,8047.94,8009.95,8013.35,1828.04,14753404.67
1523908800,8013.26,8020.17,7971.85,8012.73,2499.76,20082842.74
1523905200,8013.2,8066.78,8000.21,8046.12,2727.53,21989771.11
1523901600,8046.12,8055.78,8034.73,8054.16,2181.04,17621823.63
1523898000,8053.93,8078.9,7988.73,7990.29,3367.79,27177225.15
1523894400,7989.68,7998.69,7963.79,7998.06,1959.52,15688461.19
1523890800,7998.03,8017.66,7989.64,7996.75,2326.77,18703402.77
1523887200,7996.75,8015.54,7947.62,7984.72,2900.61,23228055.93
1523883600,7984.72,7993.3,7929.24,7977.83,5790.55,46256384.85
1523880000,7977.82,8112.25,7954.53,8108.08,6979.71,56129307.65
1523876400,8108.08,8119.53,8054.35,8099.75,2253.31,18313555.02
1523872800,8099.75,8146.69,8080.31,8122.38,2530.89,20598679.35
1523869200,8122.38,8161.4,8075.31,8155.18,3745.32,30450806.81
1523865600,8155.18,8161.43,8113.35,8134.86,1871.36,15345071.29
1523862000,8134.86,8145.09,8091.71,8116.11,2052.15,16774564.72
1523858400,8116.1,8126.12,8049.56,8076.04,4287.09,34819587.71
1523854800,8076.04,8167.69,8037.65,8166.74,6683.45,54191697.85
1523851200,8166.74,8181.96,8152.72,8177.97,2233.67,18297329.76
1523847600,8177.97,8198.5,8138.31,8163.13,4473.46,36627396.82
1523844000,8163.13,8371.37,8121.92,8361.81,12195.51,100051152.25
1523840400,8361.19,8430.93,8357.39,8409.54,4563.92,38375868.28
1523840400,8361.19,8430.93,8357.39,8409.54,4563.92,38375868.28
1523836800,8409.54,8425.81,8359.06,8376.73,3907.22,32966086.52
1523833200,8376.73,8388.93,8342.11,8365.71,2540.77,21408382.4
1523829600,8365.71,8380.94,8321.17,8327.51,2085.23,17492079.26
1523826000,8327.72,8327.72,8307.53,8314.18,1485.35,12409908.76
1523822400,8314.47,8347.59,8307.13,8330.76,1943.21,16250123.42
1523818800,8331.5,8351.99,8302.19,8351.65,1825.63,15254288.55
1523815200,8351.42,8370.37,8317.37,8317.45,2283.44,19142824.76
1523811600,8317.55,8336.67,8294.34,8303.79,1906.53,15925961.53
1523808000,8303.66,8333.34,8296.44,8305.58,1796.81,14981699.3
1523804400,8305.34,8365.38,8289.2,8363.79,4120.08,34453034.09
1523800800,8363.79,8395.95,8353.54,8375.29,2561.91,21550701.52
1523797200,8374.98,8400.94,8360.92,8366.38,3007.89,25294095.25
1523793600,8367.41,8374.2,8335.2,8358.04,4017.4,33642889.38
1523790000,8358.33,8437.03,8147.41,8147.81,13399.46,112067567.76
1523786400,8147.58,8157.65,8140.53,8140.53,1161.21,9508338.0
1523782800,8140.53,8159.03,8109.04,8153.61,1938.47,15807779.48
1523779200,8153.61,8180.82,8103.88,8103.88,2896.68,23710454.79
1523775600,8103.88,8139.02,8100.97,8135.71,1374.84,11195887.44
1523772000,8136.27,8153.22,8118.35,8146.3,1714.4,14004441.46
1523768400,8146.52,8147.11,8077.2,8129.01,1993.62,16218783.71
1523764800,8129.11,8172.26,8101.18,8102.21,2712.33,22185811.0
1523761200,8101.41,8117.83,8097.94,8111.44,1157.25,9420912.41
1523757600,8111.37,8141.23,8099.15,8123.32,2285.98,18633802.13
1523754000,8123.32,8132.69,8067.19,8085.73,2457.94,19975155.78
1523754000,8123.32,8132.69,8067.19,8085.73,2457.94,19975155.78
1523750400,8086.26,8145.7,8021.04,8022.51,6155.61,49992882.37
1523746800,8022.51,8075.63,7988.35,8073.47,2776.4,22367628.61
1523743200,8073.47,8093.05,8062.8,8062.8,1274.91,10353815.41
1523739600,8062.8,8102.25,8053.47,8091.23,1568.04,12721193.94
1523736000,8091.23,8095.41,8029.95,8036.34,2546.19,20692810.69
1523732400,8036.48,8054.85,8008.03,8048.84,2015.62,16360591.79
1523728800,8048.15,8050.67,7973.56,7994.69,2484.89,19987375.68
1523725200,7994.69,8018.41,7963.15,8017.89,1697.61,13682101.13
1523721600,8017.89,8017.9,7950.26,7978.65,2595.72,20823714.18
1523718000,7978.65,8014.31,7977.86,7998.34,1964.31,15736563.27
1523714400,7998.0,8001.51,7952.9,7982.39,1828.66,14642254.7
1523710800,7982.39,7987.99,7921.07,7921.08,3055.63,24404713.51
1523707200,7921.08,8004.72,7891.69,7989.62,4562.14,36293320.3
1523703600,7989.43,8031.14,7961.23,7971.5,2314.96,18595757.16
1523700000,7971.43,8064.71,7942.54,8053.27,2690.53,21610334.23
1523696400,8053.27,8137.44,8013.83,8129.14,4265.02,34428231.78
1523692800,8128.96,8183.62,8102.95,8151.86,2727.14,22276373.8
1523689200,8152.42,8195.34,8008.13,8028.57,6927.91,56507461.69
1523685600,8028.57,8032.95,7972.75,7972.75,1786.81,14437847.91
1523682000,7972.72,8040.03,7972.25,7984.23,2062.03,16579594.28
1523678400,7984.2,8056.63,7975.12,8054.32,3294.6,26493819.61
1523674800,8055.24,8066.76,8018.13,8050.11,2104.0,17001573.91
1523671200,8050.14,8087.2,8024.59,8060.92,2475.14,20022539.02
1523667600,8060.92,8083.34,7927.02,7933.99,4561.09,36700819.84
1523667600,8060.92,8083.34,7927.02,7933.99,4561.09,36700819.84
1523664000,7933.99,7941.9,7841.19,7898.74,3099.28,24565945.44
1523660400,7899.11,7978.14,7875.55,7926.7,5543.07,44144427.3
1523656800,7926.7,7926.77,7824.69,7894.49,6917.63,54562846.2
1523653200,7894.49,7926.71,7861.32,7914.66,5173.85,40993659.57
1523649600,7914.66,8116.21,7864.82,8112.68,12032.78,95870684.22
1523646000,8112.68,8137.04,8067.34,8128.1,2933.02,23895687.42
1523642400,8128.1,8133.55,8101.75,8133.55,2368.21,19319103.74
1523638800,8133.55,8170.27,8072.96,8138.58,4812.91,39229543.98
1523635200,8138.58,8170.75,8109.07,8144.42,4057.55,33159357.78
1523631600,8144.42,8147.01,8091.45,8120.31,3748.27,30511670.9
1523628000,8120.31,8138.66,8053.62,8111.85,8485.08,68843498.8
1523624400,8111.89,8223.4,8050.98,8210.15,11353.06,92641365.45
1523620800,8210.09,8237.16,8098.87,8101.85,7259.92,59488782.34
